fIps/cOUnty/statE/statE_cOdE/malE/fEmalE/mEdIan_agE/lat/lOng
1001/AUtaUga CoUnty/Alabama/AL/26874/28326/37.8/32.53492293292812/-86.64273013739468
1003/BaldwIn CoUnty/Alabama/AL/101188/106919/42.8/30.72747876693927/-87.72256353282204
1005/BarboUr CoUnty/Alabama/AL/13697/12085/39.9/31.869581438362317/-85.39320978902569
1007/BIbb CoUnty/Alabama/AL/12152/10375/39.9/32.998628228925845/-87.12647507182314
1009/BloUnt CoUnty/Alabama/AL/28434/29211/40.8/33.98086883066284/-86.56738039931867
1011/BUllock CoUnty/Alabama/AL/5663/4689/39.6/32.10052546439408/-85.71567933028645
1013/BUtler CoUnty/Alabama/AL/9368/10657/40.7/31.752429155671948/-86.68027562242744
1015/CalhoUn CoUnty/Alabama/AL/55315/59783/39.7/33.771415664670144/-85.82603921906548
1017/Chambers CoUnty/Alabama/AL/16257/17569/43.0/32.91434535110719/-85.39203021569158
1019/Cherokee CoUnty/Alabama/AL/12820/13033/45.9/34.17590465311609/-85.60380095916831
1021/ChIlton CoUnty/Alabama/AL/21672/22258/38.6/32.84786730790755/-86.71879022444824
1023/Choctaw CoUnty/Alabama/AL/6253/6822/46.1/32.019771720975655/-88.26317980997915
1025/Clarke CoUnty/Alabama/AL/11539/12848/42.3/31.67667781209924/-87.83080861554338
1027/Clay CoUnty/Alabama/AL/6464/6914/43.7/33.26902359843214/-85.8605790173855
1029/ClebUrne CoUnty/Alabama/AL/7281/7657/42.5/33.67451320426218/-85.51880933254934
1031/Coffee CoUnty/Alabama/AL/25314/25974/39.3/31.40264942168117/-85.98815267828464
1033/Colbert CoUnty/Alabama/AL/26075/28420/42.7/34.700470938378004/-87.80492780624994
1035/ConecUh CoUnty/Alabama/AL/6037/6477/44.8/31.42923693025014/-86.99366150725562
1037/Coosa CoUnty/Alabama/AL/5501/5354/46.9/32.93624304249333/-86.24766160001144
1039/CovIngton CoUnty/Alabama/AL/18172/19179/43.9/31.248491453552955/-86.45126684432357
1041/Crenshaw CoUnty/Alabama/AL/6814/7051/41.5/31.73151850368641/-86.31354750864885
1043/CUllman CoUnty/Alabama/AL/40560/41753/40.6/34.1319452282297/-86.86757572060472
1045/Dale CoUnty/Alabama/AL/24234/25021/37.5/31.431810191228635/-85.61100443496244
1047/Dallas CoUnty/Alabama/AL/18448/21581/39.5/32.32597925878849/-87.10646900303215
1049/DeKalb CoUnty/Alabama/AL/35304/35896/39.3/34.45980033140949/-85.80410976896026
1051/Elmore CoUnty/Alabama/AL/39450/41762/38.6/32.5966474982654/-86.14915715534637
1053/EscambIa CoUnty/Alabama/AL/19067/18261/39.7/31.126134749153067/-87.16158196121191
1055/Etowah CoUnty/Alabama/AL/49651/53288/41.3/34.04525667023056/-86.03476332697053
1057/Fayette CoUnty/Alabama/AL/8170/8415/43.8/33.72122226409212/-87.73885770883655
1059/FranklIn CoUnty/Alabama/AL/15602/15940/37.6/34.44169229734741/-87.84373462807847
1061/Geneva CoUnty/Alabama/AL/12971/13520/42.4/31.09505484802003/-85.83909144612956
